epoch,train_loss,precision,recall,f1,accuracy,mae,rmse
1,0.7394773439695219,0.820445609434643,0.7100189035903403,0.761248474959631,0.6634285714276237,3.906538486480713,6.85008430480957
2,0.7019785089053533,0.8144242935453091,0.7388559403085156,0.7748018808564031,0.6792857142847439,3.7752466201782227,6.796321392059326
3,0.6958249866064564,0.808063737323013,0.6636922466772482,0.7287969465979687,0.644142857141937,4.050014019012451,7.062431335449219
4,0.6929621557993242,0.8171006766438034,0.7715392061940531,0.7936665952813609,0.7039999999989943,3.5404725074768066,6.576350212097168
5,0.6909000944359139,0.8116103202828924,0.7266029470316078,0.7667577172242077,0.6828571428561674,3.702756881713867,6.713613033294678
6,0.6904612314107106,0.7905162064810114,0.7932142140116579,0.79186290711387,0.7032857142847097,3.542499303817749,6.706398963928223
7,0.6897730138390255,0.813245823387404,0.7849875215957286,0.7988668505240817,0.7058571428561345,3.5242137908935547,6.7201738357543945
8,0.6890419342772018,0.8114239416633352,0.7705327947667426,0.7904498766118838,0.6965714285704335,3.645670175552368,6.7508368492126465
9,0.6885876540582399,0.8195346320324147,0.5881553398046832,0.6848292965126904,0.6017142857134261,4.263690948486328,7.215389251708984
10,0.688278276045933,0.809318555006549,0.7686159844039598,0.7884423065394428,0.697714285713289,3.5938446521759033,6.8366594314575195
